cat1,cat2,cat3,city,platform
for-the-home,furniture-and-home-decore,sofa-armchair,Tehran,mobile
for-the-home,furniture-and-home-decore,antiques-and-art,Mashhad,mobile
vehicles,cars,heavy,Mashhad,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Tehran,mobile
personal,baby-and-toys,personal-toys,Karaj,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Tehran,mobile
vehicles,parts-accessories,,Tehran,mobile
for-the-home,utensils-and-appliances,cookware-tableware,Tehran,mobile
vehicles,cars,light,Tehran,mobile
for-the-home,utensils-and-appliances,cookware-tableware,Tehran,mobile
personal,clothing-and-shoes,clothing,Mashhad,mobile
electronic-devices,mobile-tablet,mobile-phones,Qom,mobile
personal,childrens-clothing-and-shoe,,Karaj,mobile
vehicles,parts-accessories,,Tehran,mobile
electronic-devices,game-consoles-and-video-games,,Isfahan,mobile
for-the-home,furniture-and-home-decore,antiques-and-art,Tehran,mobile
vehicles,parts-accessories,,Shiraz,mobile
electronic-devices,audio-video,tv-projector,Tehran,mobile
vehicles,cars,light,Karaj,web
electronic-devices,mobile-tablet,mobile-phones,Tehran,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Mashhad,mobile
personal,clothing-and-shoes,clothing,Tehran,mobile
vehicles,cars,light,Tehran,mobile
personal,clothing-and-shoes,clothing,Mashhad,mobile
electronic-devices,mobile-tablet,mobile-phones,Mashhad,mobile
personal,childrens-clothing-and-shoe,,Tehran,mobile
electronic-devices,mobile-tablet,mobile-phones,Karaj,mobile
for-the-home,building-and-garden,garden-and-patio,Mashhad,mobile
personal,jewelry-and-watches,watches,Karaj,mobile
businesses,equipments-and-machinery,offices,Isfahan,mobile
for-the-home,building-and-garden,kitchen,Tehran,web
for-the-home,furniture-and-home-decore,antiques-and-art,Tabriz,mobile
leisure-hobbies,bicycle,,Shiraz,mobile
leisure-hobbies,animals,farm-animals,Qom,mobile
electronic-devices,,,Tehran,mobile
leisure-hobbies,animals,cat,Tehran,mobile
vehicles,cars,light,Tehran,web
electronic-devices,audio-video,video-dvdplayer,Tehran,mobile
vehicles,cars,light,Tehran,mobile
vehicles,cars,light,Tehran,mobile
vehicles,parts-accessories,,Shiraz,mobile
personal,clothing-and-shoes,shoes-belt-bag,Tehran,mobile
vehicles,cars,light,Ahvaz,mobile
businesses,equipments-and-machinery,industrial,Tabriz,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Shiraz,mobile
for-the-home,furniture-and-home-decore,tv-and-stereo-furniture,Qom,mobile
personal,clothing-and-shoes,clothing,Tehran,mobile
businesses,equipments-and-machinery,industrial,Tehran,mobile
businesses,batch,,Tehran,mobile
leisure-hobbies,animals,birds,Karaj,mobile
leisure-hobbies,musical-instruments,guitar-bass-amplifier,Tehran,mobile
for-the-home,furniture-and-home-decore,beds-bedroom,Shiraz,mobile
for-the-home,furniture-and-home-decore,carpets,Tabriz,mobile
personal,health-beauty,,Mashhad,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Qom,mobile
vehicles,cars,light,Tehran,mobile
electronic-devices,game-consoles-and-video-games,,Isfahan,mobile
electronic-devices,mobile-tablet,mobile-tablet-accessories,Qom,mobile
for-the-home,furniture-and-home-decore,beds-bedroom,Tehran,mobile
leisure-hobbies,musical-instruments,guitar-bass-amplifier,Tehran,mobile
for-the-home,utensils-and-appliances,fridge-and-freezer,Tehran,mobile
for-the-home,furniture-and-home-decore,beds-bedroom,Shiraz,mobile
for-the-home,furniture-and-home-decore,lighting,Mashhad,mobile
vehicles,cars,light,Tehran,mobile
electronic-devices,mobile-tablet,mobile-phones,Tehran,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Tehran,mobile
for-the-home,furniture-and-home-decore,tables-and-chairs,Isfahan,mobile
vehicles,motorcycles,,Shiraz,mobile
for-the-home,furniture-and-home-decore,tables-and-chairs,Ahvaz,mobile
personal,clothing-and-shoes,clothing,Tabriz,mobile
for-the-home,furniture-and-home-decore,tv-and-stereo-furniture,Tehran,mobile
vehicles,cars,heavy,Kermanshah,mobile
personal,jewelry-and-watches,watches,Tehran,mobile
for-the-home,furniture-and-home-decore,antiques-and-art,Ahvaz,mobile
personal,baby-and-toys,strollers-and-accessories,Tehran,mobile
personal,clothing-and-shoes,clothing,Tehran,mobile
electronic-devices,computers,modem-and-network-equipment,Tehran,mobile
vehicles,cars,light,Shiraz,mobile
electronic-devices,mobile-tablet,mobile-phones,Karaj,mobile
personal,clothing-and-shoes,shoes-belt-bag,Isfahan,mobile
businesses,equipments-and-machinery,industrial,Tehran,mobile
vehicles,cars,light,Isfahan,mobile
vehicles,cars,light,Mashhad,mobile
vehicles,cars,light,Mashhad,web
businesses,equipments-and-machinery,industrial,Tehran,web
for-the-home,furniture-and-home-decore,carpets,Tehran,mobile
for-the-home,furniture-and-home-decore,beds-bedroom,Karaj,mobile
for-the-home,furniture-and-home-decore,lighting,Mashhad,mobile
electronic-devices,mobile-tablet,mobile-phones,Tehran,mobile
electronic-devices,mobile-tablet,mobile-phones,Tehran,mobile
for-the-home,furniture-and-home-decore,beds-bedroom,Ahvaz,mobile
personal,health-beauty,,Tabriz,mobile
vehicles,cars,heavy,Ahvaz,web
personal,jewelry-and-watches,jewelry,Ahvaz,mobile
electronic-devices,audio-video,tv-projector,Mashhad,mobile
electronic-devices,audio-video,stereo-surround,Tehran,mobile
businesses,equipments-and-machinery,offices,Mashhad,mobile
for-the-home,furniture-and-home-decore,sofa-armchair,Karaj,mobile
electronic-devices,audio-video,camera-camcoders,Tehran,mobile
personal,,,Tehran,mobile
